date,q,swt,v,lh,sh,light,strat,t,rh,sp,cc,pev,sw,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp
2021-10-15,7.87365972222213,20.317701,85348571.971295,-83.890038,-13.654615,345.930842,0.161595,14.545,85.2170923333333,967.120408333333,96.7916666666667,0.078999245375,4.99740609583333,15.3595833333333,15.5179166666667,17.45125,19.4845833333333,0.25525,0.2605,0.1255,0.224,0
2021-10-16,7.15064699074079,20.265456,84629571.971295,-41.281637,-7.015943,392.863577,0.160147,14.67,84.2328660833333,966.189694583333,56.0833333333333,0.0871614892916667,5.54584124166667,15.5366666666667,15.622083375,17.3075,19.47,0.246083333333333,0.25675,0.1255,0.224,0
2021-10-17,6.45937615740751,20.195104,84775571.971294,-31.7219,-5.623083,292.25364,0.159044,15.2699999583333,84.179800375,967.845997916667,79.6666666666667,0.0876288170833333,4.66591469583333,16.4741666666667,16.347083375,17.2408333333333,19.42,0.237083333333333,0.252083333333333,0.125,0.224,0.3
2021-10-18,7.78057523148149,20.107208,84584571.971294,-44.81947,-7.073273,291.24674,0.157661,16.2283333333333,85.3092647916667,972.058475833333,84.0416666666667,0.0953152109166667,4.315580725,17.3324999166667,16.8824999583333,17.2491666666667,19.40125,0.228541666666667,0.2485,0.125583333333333,0.224,0
2021-10-19,6.86922685185183,19.758595,84204571.971294,-195.164608,-27.333231,320.297699,0.157288,17.3033333333333,86.1084578333333,974.193122916667,82.2083333333333,0.0937173174583333,10.0106237416667,17.8491666666667,17.3054166666667,17.295,19.37,0.220958333333333,0.244875,0.12575,0.224,0.1
2021-10-20,5.89447109871364,19.366452,84052571.971294,-271.623958,-34.987281,266.271243,0.157073,16.8429166666667,85.7295227083333,969.866299166667,91.25,0.075450963375,15.4970413541667,17.5512499583333,17.5220832916667,17.3845833333333,19.3345833333333,0.220041666666667,0.241458333333333,0.125875,0.224,0.9
2021-10-21,6.75669560185185,19.349854,84166571.971294,-6.370403,-1.099856,177.553261,0.157031,15.2512499583333,89.332493625,965.782467916667,94.625,0.0528199585416667,7.21625567083333,16.2200000416667,16.9012502083333,17.43875,19.32,0.231291666666667,0.239375,0.126,0.224,3.4
2021-10-22,6.93641666666656,19.284197,84280571.971294,-33.651915,-5.583285,327.606758,0.156787,14.209583375,79.871300125,966.91301875,82.4166666666667,0.0801178429166667,3.99721636666667,15.1220833333333,15.86791675,17.3783333333333,19.27625,0.317583333333333,0.242291666666667,0.126,0.224,1.9
2021-10-23,6.86080208333336,19.259318,84431571.971294,-8.480822,-1.454018,400.793344,0.156573,11.6720833333333,74.3323541666667,969.15330875,25.0833333333333,0.0891471619416667,3.69700436666667,13.467916625,14.7866666666667,17.2283332916667,19.2616666666667,0.299583333333333,0.245666666666667,0.1265,0.224,0
2021-10-24,7.82786574074068,19.11225,84545571.971295,-42.246198,-7.87209,323.025824,0.155662,12.3783333041667,76.20232275,970.428852916667,11.25,0.0912852743333333,4.46519654166667,13.01375,13.8679166666667,16.9929164583333,19.22,0.281208333333333,0.246125,0.127,0.224,0
