date,t,rh,sp,cc,pev,sw,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp
2017-02-04,9.55541670416667,77.5911970833333,957.817332916667,73.375,0.0723422101625,15.7790978875,7.95125,7.00333334583333,6.43458337083333,8.32416666666667,0.323833333333333,0.326,0.238,0.22,0.8
2017-02-05,7.755416675,78.258691875,954.2653075,45.875,0.0494284505541667,16.2015253333333,7.90541670416667,8.02208339583333,6.76166671666667,8.28458333333333,0.324,0.322791666666667,0.239291666666667,0.22,0.5
2017-02-06,7.79291669583333,50.7745468333333,961.391611666667,49.2083333333333,0.120717614133333,20.5079122708333,7.35333334583333,7.313750025,6.9637500625,8.26166666666667,0.316083333333333,0.319583333333333,0.24,0.22,0
2017-02-07,9.52208337083333,78.811978125,964.46693875,91.7916666666667,0.060628687375,4.15065570416667,8.413750025,7.61166670416667,7.09916667916667,8.22,0.33,0.316833333333333,0.24,0.22,16.3
2017-02-08,5.96166673333333,71.353905375,963.30611125,53.25,0.0680605212083333,6.142978825,7.7012500625,8.22208335833333,7.32416670416667,8.22,0.395083333333333,0.36125,0.241458333333333,0.22,7.2
2017-02-09,4.24708339541667,62.511520375,964.681497916667,11.3333333333333,0.0712222711916667,5.83098973333333,4.87625004166667,6.0450000875,7.33041666666667,8.17416666666667,0.367583333333333,0.366041666666667,0.245375,0.22,0
2017-02-10,4.50333338416667,78.1669170833333,963.310894166667,89.9583333333333,0.0552039722916667,6.98512997,4.42625004583333,5.21583340833333,7.09083340833333,8.17,0.354166666666667,0.357208333333333,0.247375,0.22,0
2017-02-11,6.08250003708333,84.3182784166667,962.979369583333,91.5416666666667,0.0475081093333333,6.700435725,4.25750003333333,4.58458340416667,6.81166677916667,8.13875,0.346541666666667,0.349875,0.248708333333333,0.22,0.1
2017-02-12,9.58458333333333,93.7074610416667,961.73313625,99.625,0.0274823799208333,16.165724,8.39916670416667,7.1387500625,6.71583339583333,8.10958333333333,0.346875,0.344583333333333,0.249125,0.22,0.6
2017-02-13,10.0929166666667,93.5508582916667,961.998818333333,98.8333333333333,0.0231913143291667,15.6242417833333,9.32625,8.59916666666667,7.00750005,8.07,0.375666666666667,0.349666666666667,0.25075,0.22,14.7
2017-02-14,10.25125,88.5155905416667,970.187209166667,85.5,0.0456423885,6.95575530833333,10.0325,9.20958333333333,7.35958340833333,8.07,0.407958333333333,0.387333333333333,0.253708333333333,0.22,4.3
2017-02-15,9.34916666666667,86.93736175,978.70852,49.4583333333333,0.0559309055,7.60574364166667,9.52,9.25541666666667,7.69291671666667,8.0325,0.385583333333333,0.384583333333333,0.260333333333333,0.22,0
2017-02-16,9.10541666666667,88.4634019583333,978.859738333333,96.0833333333333,0.0651270186666667,4.39179981666667,9.75333333333333,9.3825,7.97208340833333,8.02,0.372958333333333,0.374208333333333,0.263791666666667,0.22,0
2017-02-17,9.53250005,82.6195437916667,973.994157083333,43.75,0.0838081735,3.69832922833333,9.7012500625,9.31375,8.17625,8.02,0.360958333333333,0.365166666666667,0.265625,0.22,0
2017-02-18,8.69083333333333,82.260881625,968.98532625,72.125,0.0786731370416667,4.90422066666667,8.52208337083333,8.55958335833333,8.29083333333333,8.02,0.350333333333333,0.357333333333333,0.267,0.22,0
2017-02-19,8.76583337083333,76.4995457083333,972.030499583333,27.0833333333333,0.0856576127083333,6.05355894166667,8.85541671666667,8.8200000375,8.33041666666667,8.06583333333333,0.341208333333333,0.350041666666667,0.267875,0.22,0
2017-02-20,8.29708337083333,78.7942931666667,972.313583333333,44.2083333333333,0.0823713167916667,3.08419506125,8.65541666666667,8.645,8.35958333333333,8.07,0.333,0.343583333333333,0.269291666666667,0.22,0
2017-02-21,9.863750025,65.8839933333333,970.603345,37.8333333333333,0.0921916318875,3.83197729916667,8.03666667916667,8.24083334583333,8.35541666666667,8.07,0.329291666666667,0.335208333333333,0.268,0.22,0
2017-02-22,10.1741666833333,68.188653625,968.286774166667,30.9166666666667,0.096926227,4.36710705833333,8.320000025,8.32,8.33458333333333,8.07,0.318583333333333,0.329541666666667,0.271,0.22,0
2017-02-23,10.7637500125,70.391392375,962.885809166667,55.4583333333333,0.0984188055833333,5.9097191625,8.64708334583333,8.47208335833333,8.32833333333333,8.07,0.310333333333333,0.324,0.2755,0.22,0
2017-02-24,8.91583335833333,88.4903238333333,960.467904166667,81.125,0.0359752233254167,7.58621294166667,9.05541669166667,9.02833333333333,8.40333333333333,8.07,0.314291666666667,0.320625,0.276,0.22,0.9
2017-02-25,6.59291669166667,73.8792937916667,965.887374583333,20.1666666666667,0.085232829475,5.07665473333333,7.82208340416667,8.113750025,8.40125,8.07,0.310958333333333,0.318666666666667,0.2765,0.22,0
2017-02-26,7.23666670416667,83.7785844583333,967.141553333333,45.9166666666667,0.0894670367291667,4.57333065416667,7.93041672916667,8.02208335833333,8.32208333333333,8.11166666666667,0.300166666666667,0.313916666666667,0.2755,0.22,0
2017-02-27,8.87416668333333,79.8873718333333,960.123369166667,41.2916666666667,0.0964879381666667,10.6712279666667,8.98666667916667,8.61583335833333,8.30958333333333,8.12,0.291583333333333,0.306833333333333,0.279,0.22,0.1
2017-02-28,8.43875003333333,72.767727125,956.470094166667,67.9583333333333,0.088470495735,13.4535195333333,8.49708334583333,8.71166667916667,8.37833333333333,8.12,0.282333333333333,0.302,0.278,0.22,0
2017-03-01,7.3137500375,68.6402243333333,965.092575,46.125,0.0913781598625,5.74287913333333,7.88458335833333,8.1387500125,8.35958333333333,8.12,0.274666666666667,0.297833333333333,0.277458333333333,0.22,0.1
